carrier_code,avg_arrival_delay
AQ,-2.888673890608875
HA,-1.1391961450005477
US,2.7307659171189798
AS,5.349467312843792
F9,7.18547727347099
DL,7.54839276422929
WN,7.603865065577601
B6,9.817523086425332
OO,10.001878488907337
9E,10.128788329860077
FL,10.921710925467867
NW,11.284998596919827
OH,11.365849427547126
CO,11.829575714539322
XE,11.853797863794592
EV,12.11554348189136
YV,13.186142876696987
MQ,13.940319139535177
UA,14.346067204805706
AA,16.07303975889889
